"","1A _DLD1_P_Gree_03.#m4_","1B_DLD1_P_Gree_04.#m4_","1C_DLD1_P_Gree_05.#m4_","1D_DLD1_P_Gree_06.#m4_","2A_DLD1_P_Gree_07.#m4_","2B_DLD1_P_Gree_08.#m4_","2C_DLD1_P_Gree_09.#m4_","2D_DLD1 _P_Gree_10.#m4_","3A_DLD1 _P_Gree_11.#m4_","3B_DLD1 _P_Gree_12.#m4_","3C_DLD1 _P_Gree_13.#m4_","3D DLD-1_P_Gree_03.#m4_","4A DLD-1_P_Gree_04.#m4_","4B DLD-1_P_Gree_05.#m4_","4C DLD-1_P_Gree_07.#m4_","4D DLD-1_P_Gree_08.#m4_"
"Bin Diameter (Center)","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff."
"um","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number"
27.48,2,0,1,5,3,3,2,3,2,1,1,6,5,1,1,5
27.56,2,2,0,1,2,3,2,1,0,1,1,5,4,2,3,2
27.64,2,1,1,1,3,2,4,2,3,2,3,7,2,1,6,1
27.72,1,0,3,4,3,2,2,4,6,2,0,6,4,6,2,1
27.79,2,0,2,2,1,3,2,3,5,6,3,3,4,3,2,2
27.87,2,0,2,0,2,4,1,3,1,3,0,6,6,2,0,1
27.95,1,2,0,2,1,2,4,1,1,4,3,2,2,2,2,2
28.03,3,2,1,0,1,4,0,4,5,2,1,4,7,3,3,1
28.10,1,2,2,2,3,4,0,4,6,1,2,2,3,1,2,0
28.18,2,1,1,0,2,2,0,2,1,3,3,10,2,2,1,3
28.26,5,0,2,2,4,1,2,2,4,3,2,7,1,0,0,1
28.34,0,0,1,0,1,4,1,3,1,2,2,0,1,1,4,3
28.41,2,3,2,2,1,2,1,2,4,2,1,5,2,3,1,1
28.49,3,0,1,0,1,3,1,0,2,0,2,6,1,2,1,0
28.57,2,0,2,2,1,1,2,1,0,2,1,4,1,2,2,0
28.65,1,1,0,0,2,4,1,2,2,5,5,6,1,4,1,1
28.72,1,1,0,1,1,6,2,5,1,1,4,3,0,1,1,2
28.80,1,1,1,2,3,2,2,0,4,0,1,2,0,1,0,0
28.88,0,0,1,2,2,1,0,3,1,2,2,4,0,1,1,2
28.96,0,0,4,2,1,3,0,2,2,3,1,3,3,3,0,0
29.03,0,0,1,2,0,3,1,2,2,2,3,4,0,2,1,1
29.11,1,0,2,4,0,2,1,0,3,2,2,2,1,1,0,1
29.19,2,0,3,3,2,0,3,2,2,3,4,2,1,0,0,2
29.27,1,0,0,0,1,3,1,1,2,0,0,4,2,0,0,1
29.34,0,1,1,1,1,1,0,3,2,1,0,3,0,1,1,0
29.42,2,1,0,0,1,0,0,2,2,1,1,2,4,0,1,1
29.50,0,1,0,0,1,3,0,4,0,1,0,1,0,2,1,1
29.58,0,0,2,3,2,1,2,1,1,1,1,2,0,2,3,0
29.65,1,0,1,0,1,2,0,1,2,0,1,4,2,0,0,1
29.73,3,0,1,0,2,3,0,2,4,0,3,1,2,3,1,0
29.81,1,1,1,0,1,1,1,0,1,1,2,2,0,1,3,0
29.89,0,0,0,1,1,1,0,3,0,2,1,6,1,2,0,2
29.96,0,1,0,3,1,2,2,3,0,1,3,3,1,2,0,2
30.04,0,2,1,0,0,2,0,2,2,2,2,0,0,3,0,2
